timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642117716625,31,defineRandomVars,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1642117717870,11,defineRandomVars,200,OK,Thread Group 1-2,text,true,,0,0,2,2,null,0,0,0
1642117719122,7,defineRandomVars,200,OK,Thread Group 1-3,text,true,,0,0,3,3,null,0,0,0
1642117716780,3441,http://localhost/blog/,500,Internal Server Error,Thread Group 1-1,text,false,,9974,505,3,3,http://localhost/blog/,3438,0,35
1642117717910,2311,http://localhost/blog/,500,Internal Server Error,Thread Group 1-2,text,false,,9974,505,3,3,http://localhost/blog/,2308,0,1
1642117716660,3443,openHomePage,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-1,,false,,9974,505,3,3,null,3438,120,35
1642117717882,2313,openHomePage,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-2,,false,,9974,505,3,3,null,2308,28,1
1642117716625,3474,Algo,,"Number of samples in transaction : 2, number of failing samples : 1",Thread Group 1-1,,false,,9974,505,3,3,null,3438,124,35
1642117717870,2325,Algo,,"Number of samples in transaction : 2, number of failing samples : 1",Thread Group 1-2,,false,,9974,505,3,3,null,2308,29,1
1642117720224,3,defineRandomVars,200,OK,Thread Group 1-2,text,true,,0,0,3,3,null,0,0,0
1642117720224,5,defineRandomVars,200,OK,Thread Group 1-1,text,true,,0,0,3,3,null,0,0,0
1642117720369,6,defineRandomVars,200,OK,Thread Group 1-4,text,true,,0,0,4,4,null,0,0,0
1642117721612,8,defineRandomVars,200,OK,Thread Group 1-5,text,true,,0,0,5,5,null,0,0,0
1642117720261,2438,http://localhost/blog/,200,OK,Thread Group 1-1,text,true,,326218,11429,5,5,http://localhost/blog/,232,0,0
1642117721658,1041,http://localhost/blog/,200,OK,Thread Group 1-5,text,true,,326218,11429,5,5,http://localhost/blog/,11,0,1
1642117721658,12,http://localhost/blog/-0,200,OK,Thread Group 1-5,text,true,,29755,505,5,5,http://localhost/blog/,11,0,1
1642117720261,232,http://localhost/blog/-0,200,OK,Thread Group 1-1,text,true,,29755,505,5,5,http://localhost/blog/,232,0,0
1642117721675,4,http://localhost/blog/-1,200,OK,Thread Group 1-5,text,true,,5349,528,5,5,http://localhost/blog/Content/Auto/Global.css,4,0,0
1642117720589,37,http://localhost/blog/-1,200,OK,Thread Group 1-1,text,true,,5349,528,5,5,http://localhost/blog/Content/Auto/Global.css,37,0,1
1642117719153,3537,http://localhost/blog/,200,OK,Thread Group 1-3,text,true,,326218,11429,5,5,http://localhost/blog/,1340,0,1
1642117721675,1024,http://localhost/blog/-2,200,OK,Thread Group 1-5,text,true,,8896,544,5,5,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",1014,0,957
1642117719153,1340,http://localhost/blog/-0,200,OK,Thread Group 1-3,text,true,,29755,505,5,5,http://localhost/blog/,1340,0,1
1642117720581,2118,http://localhost/blog/-2,200,OK,Thread Group 1-1,text,true,,8896,544,5,5,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",2106,0,2051
1642117721675,4,http://localhost/blog/-3,200,OK,Thread Group 1-5,text,true,,25636,542,5,5,http://localhost/blog/Custom/Themes/Standard/css/styles.css,4,0,2
1642117720389,2310,http://localhost/blog/,200,OK,Thread Group 1-4,text,true,,326218,11429,5,5,http://localhost/blog/,104,0,1
1642117720581,48,http://localhost/blog/-1,200,OK,Thread Group 1-3,text,true,,5349,528,5,5,http://localhost/blog/Content/Auto/Global.css,48,0,0
1642117720583,37,http://localhost/blog/-3,200,OK,Thread Group 1-1,text,true,,25636,542,5,5,http://localhost/blog/Custom/Themes/Standard/css/styles.css,37,0,0
1642117721675,4,http://localhost/blog/-4,200,OK,Thread Group 1-5,bin,true,,3929,539,5,5,http://localhost/blog/Content/images/blog/blogengine.ico,4,0,3
1642117720389,104,http://localhost/blog/-0,200,OK,Thread Group 1-4,text,true,,29755,505,5,5,http://localhost/blog/,104,0,1
1642117720584,41,http://localhost/blog/-4,200,OK,Thread Group 1-1,bin,true,,3929,539,5,5,http://localhost/blog/Content/images/blog/blogengine.ico,41,0,1
1642117720589,2101,http://localhost/blog/-2,200,OK,Thread Group 1-3,text,true,,8896,544,5,5,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",2087,0,2043
1642117720580,53,http://localhost/blog/-1,200,OK,Thread Group 1-4,text,true,,5349,528,5,5,http://localhost/blog/Content/Auto/Global.css,53,0,5
1642117721675,8,http://localhost/blog/-5,200,OK,Thread Group 1-5,text,true,,6323,548,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,8,0,2
1642117720585,37,http://localhost/blog/-5,200,OK,Thread Group 1-1,text,true,,6323,548,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,37,0,1
1642117720589,45,http://localhost/blog/-3,200,OK,Thread Group 1-3,text,true,,25636,542,5,5,http://localhost/blog/Custom/Themes/Standard/css/styles.css,44,0,4
1642117721676,5,http://localhost/blog/-6,200,OK,Thread Group 1-5,text,true,,2887,556,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,5,0,2
1642117720581,2118,http://localhost/blog/-2,200,OK,Thread Group 1-4,text,true,,8896,544,5,5,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",2107,0,2051
1642117720585,39,http://localhost/blog/-6,200,OK,Thread Group 1-1,text,true,,2887,556,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,39,0,1
1642117721680,4,http://localhost/blog/-7,200,OK,Thread Group 1-5,text,true,,1421,518,5,5,http://localhost/blog/en-us.res.axd,4,0,2
1642117720589,35,http://localhost/blog/-4,200,OK,Thread Group 1-3,bin,true,,3929,539,5,5,http://localhost/blog/Content/images/blog/blogengine.ico,35,0,1
1642117720581,38,http://localhost/blog/-3,200,OK,Thread Group 1-4,text,true,,25636,542,5,5,http://localhost/blog/Custom/Themes/Standard/css/styles.css,38,0,5
1642117720626,17,http://localhost/blog/-7,200,OK,Thread Group 1-1,text,true,,1421,518,5,5,http://localhost/blog/en-us.res.axd,17,0,0
1642117721680,7,http://localhost/blog/-8,200,OK,Thread Group 1-5,text,true,,92937,540,5,5,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,6,0,4
1642117720590,43,http://localhost/blog/-5,200,OK,Thread Group 1-3,text,true,,6323,548,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,43,0,2
1642117720586,37,http://localhost/blog/-4,200,OK,Thread Group 1-4,bin,true,,3929,539,5,5,http://localhost/blog/Content/images/blog/blogengine.ico,37,0,3
1642117720647,71,http://localhost/blog/-8,200,OK,Thread Group 1-1,text,true,,92937,540,5,5,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,71,0,1
1642117721681,6,http://localhost/blog/-9,200,OK,Thread Group 1-5,text,true,,2532,537,5,5,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,5,0,3
1642117720590,39,http://localhost/blog/-6,200,OK,Thread Group 1-3,text,true,,2887,556,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,39,0,1
1642117720581,39,http://localhost/blog/-5,200,OK,Thread Group 1-4,text,true,,6323,548,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,39,0,0
1642117720719,15,http://localhost/blog/-9,200,OK,Thread Group 1-1,text,true,,2532,537,5,5,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,15,0,0
1642117721683,5,http://localhost/blog/-10,200,OK,Thread Group 1-5,text,true,,10009,541,5,5,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,5,0,2
1642117720626,18,http://localhost/blog/-7,200,OK,Thread Group 1-3,text,true,,1421,518,5,5,http://localhost/blog/en-us.res.axd,17,0,1
1642117721685,3,http://localhost/blog/-11,200,OK,Thread Group 1-5,text,true,,3068,533,5,5,http://localhost/blog/Scripts/Auto/05-json2.min.js,3,0,1
1642117720586,37,http://localhost/blog/-6,200,OK,Thread Group 1-4,text,true,,2887,556,5,5,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,37,0,3
1642117720648,71,http://localhost/blog/-8,200,OK,Thread Group 1-3,text,true,,92937,540,5,5,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,71,0,0
1642117721685,4,http://localhost/blog/-12,200,OK,Thread Group 1-5,text,true,,24753,525,5,5,http://localhost/blog/Scripts/Auto/blog.js,4,0,1
1642117720626,17,http://localhost/blog/-7,200,OK,Thread Group 1-4,text,true,,1421,518,5,5,http://localhost/blog/en-us.res.axd,17,0,1
1642117720735,82,http://localhost/blog/-10,200,OK,Thread Group 1-1,text,true,,10009,541,5,5,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,82,0,1
1642117720647,72,http://localhost/blog/-8,200,OK,Thread Group 1-4,text,true,,92937,540,5,5,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,72,0,2
1642117720263,2427,http://localhost/blog/,200,OK,Thread Group 1-2,text,true,,326218,11429,5,5,http://localhost/blog/,230,0,1
1642117720720,23,http://localhost/blog/-9,200,OK,Thread Group 1-4,text,true,,2532,537,5,5,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,23,0,1
1642117720818,20,http://localhost/blog/-11,200,OK,Thread Group 1-1,text,true,,3068,533,5,5,http://localhost/blog/Scripts/Auto/05-json2.min.js,20,0,0
1642117721687,4,http://localhost/blog/-13,200,OK,Thread Group 1-5,text,true,,30406,549,5,5,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,4,0,0
1642117720720,14,http://localhost/blog/-9,200,OK,Thread Group 1-3,text,true,,2532,537,5,5,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,14,0,0
1642117720838,108,http://localhost/blog/-12,200,OK,Thread Group 1-1,text,true,,24753,525,5,5,http://localhost/blog/Scripts/Auto/blog.js,107,0,0
1642117720743,74,http://localhost/blog/-10,200,OK,Thread Group 1-4,text,true,,10009,541,5,5,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,74,0,0
1642117721687,2,http://localhost/blog/-14,200,OK,Thread Group 1-5,text,true,,44438,548,5,5,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,2,0,0
1642117720946,85,http://localhost/blog/-13,200,OK,Thread Group 1-1,text,true,,30406,549,5,5,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,85,0,0
1642117720818,20,http://localhost/blog/-11,200,OK,Thread Group 1-4,text,true,,3068,533,5,5,http://localhost/blog/Scripts/Auto/05-json2.min.js,20,0,0
1642117720263,230,http://localhost/blog/-0,200,OK,Thread Group 1-2,text,true,,29755,505,5,5,http://localhost/blog/,230,0,1
1642117721689,4,http://localhost/blog/-15,200,OK,Thread Group 1-5,text,true,,2730,554,5,5,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,4,0,0
1642117720971,48,http://localhost/blog/-14,200,OK,Thread Group 1-1,text,true,,44438,548,5,5,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,40,0,0
1642117720589,40,http://localhost/blog/-1,200,OK,Thread Group 1-2,text,true,,5349,528,5,5,http://localhost/blog/Content/Auto/Global.css,40,0,0
1642117720735,83,http://localhost/blog/-10,200,OK,Thread Group 1-3,text,true,,10009,541,5,5,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,83,0,0
1642117721689,2,http://localhost/blog/-16,200,OK,Thread Group 1-5,text,true,,2141,545,5,5,http://localhost/blog/scripts/syntaxhighlighter/shActivator.js,2,0,0
1642117720973,41,http://localhost/blog/-15,200,OK,Thread Group 1-1,text,true,,2730,554,5,5,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,41,0,6
1642117720585,2105,http://localhost/blog/-2,200,OK,Thread Group 1-2,text,true,,8896,544,5,5,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",2091,0,2047
1642117720818,20,http://localhost/blog/-11,200,OK,Thread Group 1-3,text,true,,3068,533,5,5,http://localhost/blog/Scripts/Auto/05-json2.min.js,20,0,0
