timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1642121914304,2,defineRandomVars,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1642121914336,160,http://localhost/blog/,200,OK,Thread Group 1-1,text,true,,326218,11429,1,1,http://localhost/blog/,7,0,1
1642121914336,7,http://localhost/blog/-0,200,OK,Thread Group 1-1,text,true,,29755,505,1,1,http://localhost/blog/,7,0,1
1642121914345,3,http://localhost/blog/-1,200,OK,Thread Group 1-1,text,true,,5349,528,1,1,http://localhost/blog/Content/Auto/Global.css,3,0,0
1642121914345,151,http://localhost/blog/-2,200,OK,Thread Group 1-1,text,true,,8896,544,1,1,"https://fonts.googleapis.com/css?family=Roboto:300,400,500,700",147,0,101
1642121914345,4,http://localhost/blog/-3,200,OK,Thread Group 1-1,text,true,,25636,542,1,1,http://localhost/blog/Custom/Themes/Standard/css/styles.css,4,0,1
1642121914345,4,http://localhost/blog/-4,200,OK,Thread Group 1-1,bin,true,,3929,539,1,1,http://localhost/blog/Content/images/blog/blogengine.ico,4,0,1
1642121914346,3,http://localhost/blog/-5,200,OK,Thread Group 1-1,text,true,,6323,548,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shCore.css,3,0,0
1642121914346,5,http://localhost/blog/-6,200,OK,Thread Group 1-1,text,true,,2887,556,1,1,http://localhost/blog/scripts/syntaxhighlighter/styles/shThemeDefault.css,5,0,0
1642121914349,3,http://localhost/blog/-7,200,OK,Thread Group 1-1,text,true,,1421,518,1,1,http://localhost/blog/en-us.res.axd,3,0,2
1642121914349,3,http://localhost/blog/-8,200,OK,Thread Group 1-1,text,true,,92937,540,1,1,http://localhost/blog/Scripts/Auto/01-jquery-1.9.1.min.js,3,0,0
1642121914349,4,http://localhost/blog/-9,200,OK,Thread Group 1-1,text,true,,2532,537,1,1,http://localhost/blog/Scripts/Auto/02-jquery.cookie.js,4,0,0
1642121914349,4,http://localhost/blog/-10,200,OK,Thread Group 1-1,text,true,,10009,541,1,1,http://localhost/blog/Scripts/Auto/04-jquery-jtemplates.js,4,0,0
1642121914352,1,http://localhost/blog/-11,200,OK,Thread Group 1-1,text,true,,3068,533,1,1,http://localhost/blog/Scripts/Auto/05-json2.min.js,1,0,0
1642121914352,1,http://localhost/blog/-12,200,OK,Thread Group 1-1,text,true,,24753,525,1,1,http://localhost/blog/Scripts/Auto/blog.js,1,0,0
1642121914352,2,http://localhost/blog/-13,200,OK,Thread Group 1-1,text,true,,30406,549,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/XRegExp.js,2,0,0
1642121914353,2,http://localhost/blog/-14,200,OK,Thread Group 1-1,text,true,,44438,548,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shCore.js,2,0,0
1642121914353,2,http://localhost/blog/-15,200,OK,Thread Group 1-1,text,true,,2730,554,1,1,http://localhost/blog/scripts/syntaxhighlighter/scripts/shAutoloader.js,2,0,0
